Year,Month,Gender,LNC_by_Age,Value_Legal_Name_Change
2004,September,T,9-May,15
2004,September,T,14-Oct,16
2004,September,T,15-19,16
2004,September,T,20-24,24
2004,September,T,25-29,14
2004,September,T,30-34,9
2004,September,T,35-39,3
2004,September,T,40-44,9
2004,September,T,45-49,4
2004,September,T,50-54,4
2004,September,T,55-59,2
2004,September,T,60-64,4
2004,September,T,65-69,3
2004,September,T,70-74,0
2004,September,T,75+,0
2004,September,T,Total,134
2004,October,M,0-4,7
2004,October,M,9-May,13
2004,October,M,14-Oct,4
2004,October,M,15-19,9
2004,October,M,20-24,10
2004,October,M,25-29,3
2004,October,M,30-34,11
2004,October,M,35-39,6
2004,October,M,40-44,2
2004,October,M,45-49,6
2004,October,M,50-54,1
2004,October,M,55-59,1
2004,October,M,60-64,1
2004,October,M,65-69,2
2004,October,M,70-74,0
2004,October,M,75+,0
2004,October,M,Total,76
2004,October,F,0-4,11
2004,October,F,9-May,7
2004,October,F,14-Oct,9
2004,October,F,15-19,7
2004,October,F,20-24,5
2004,October,F,25-29,4
2004,October,F,30-34,3
2004,October,F,35-39,4
2004,October,F,40-44,4
2004,October,F,45-49,3
2004,October,F,50-54,3
2004,October,F,55-59,0
2004,October,F,60-64,0
2004,October,F,65-69,0
2004,October,F,70-74,0
2004,October,F,75+,0
2004,October,F,Total,60
2004,October,T,0-4,18
2004,October,T,9-May,20
2004,October,T,14-Oct,13
2004,October,T,15-19,16
2004,October,T,20-24,15
2004,October,T,25-29,7
2004,October,T,30-34,14
2004,October,T,35-39,10
2004,October,T,40-44,6
2004,October,T,45-49,9
2004,October,T,50-54,4
2004,October,T,55-59,1
2004,October,T,60-64,1
2004,October,T,65-69,2
2004,October,T,70-74,0
2004,October,T,75+,0
2004,October,T,Total,136
2004,November,M,0-4,6
2004,November,M,9-May,4
2004,November,M,14-Oct,10
2004,November,M,15-19,3
2004,November,M,20-24,7
2004,November,M,25-29,11
2004,November,M,30-34,11
2004,November,M,35-39,3
2004,November,M,40-44,1
2004,November,M,45-49,2
2004,November,M,50-54,1
2004,November,M,55-59,3
2004,November,M,60-64,4
2004,November,M,65-69,1
2004,November,M,70-74,0
2004,November,M,75+,1
2004,November,M,Total,68
2004,November,F,0-4,9
2004,November,F,9-May,7
2004,November,F,14-Oct,6
2004,November,F,15-19,4
2004,November,F,20-24,4
2004,November,F,25-29,5
2004,November,F,30-34,11
2004,November,F,35-39,4
2004,November,F,40-44,8
2004,November,F,45-49,2
2004,November,F,50-54,2
2004,November,F,55-59,1
2004,November,F,60-64,2
2004,November,F,65-69,1
2004,November,F,70-74,0
2004,November,F,75+,0
2004,November,F,Total,66
2004,November,T,0-4,15
2004,November,T,9-May,11
2004,November,T,14-Oct,16
2004,November,T,15-19,7
2004,November,T,20-24,11
2004,November,T,25-29,16
2004,November,T,30-34,22
2004,November,T,35-39,7
2004,November,T,40-44,9
2004,November,T,45-49,4
2004,November,T,50-54,3
2004,November,T,55-59,4
2004,November,T,60-64,6
2004,November,T,65-69,2
2004,November,T,70-74,0
2004,November,T,75+,1
2004,November,T,Total,134
2004,December,M,0-4,3
2004,December,M,9-May,12
2004,December,M,14-Oct,6
2004,December,M,15-19,9
2004,December,M,20-24,9
2004,December,M,25-29,7
2004,December,M,30-34,6
2004,December,M,35-39,4
2004,December,M,40-44,4
2004,December,M,45-49,2
2004,December,M,50-54,0
2004,December,M,55-59,3
2004,December,M,60-64,0
2004,December,M,65-69,1
2004,December,M,70-74,0
2004,December,M,75+,0
2004,December,M,Total,66
2004,December,F,0-4,14
2004,December,F,9-May,10
2004,December,F,14-Oct,6
2004,December,F,15-19,11
2004,December,F,20-24,5
2004,December,F,25-29,5
2004,December,F,30-34,4
2004,December,F,35-39,5
2004,December,F,40-44,5
2004,December,F,45-49,5
2004,December,F,50-54,1
2004,December,F,55-59,2
2004,December,F,60-64,2
2004,December,F,65-69,0
2004,December,F,70-74,0
2004,December,F,75+,1
2004,December,F,Total,76
2004,December,T,0-4,17
2004,December,T,9-May,22
2004,December,T,14-Oct,12
2004,December,T,15-19,20
2004,December,T,20-24,14
2004,December,T,25-29,12
2004,December,T,30-34,10
2004,December,T,35-39,9
2004,December,T,40-44,9
2004,December,T,45-49,7
2004,December,T,50-54,1
2004,December,T,55-59,5
2004,December,T,60-64,2
2004,December,T,65-69,1
2004,December,T,70-74,0
2004,December,T,75+,1
2004,December,T,Total,142
2004,Total,M,0-4,92
2004,Total,M,9-May,115
2004,Total,M,14-Oct,90
2004,Total,M,15-19,110
2004,Total,M,20-24,97
2004,Total,M,25-29,89
2004,Total,M,30-34,108
2004,Total,M,35-39,60
2004,Total,M,40-44,46
2004,Total,M,45-49,36
2004,Total,M,50-54,21
2004,Total,M,55-59,17
2004,Total,M,60-64,18
2004,Total,M,65-69,9
2004,Total,M,70-74,1
2004,Total,M,75+,6
2004,Total,M,Total,915
2004,Total,F,0-4,117
2004,Total,F,9-May,112
2004,Total,F,14-Oct,110
2004,Total,F,15-19,115
2004,Total,F,20-24,85
2004,Total,F,25-29,79
2004,Total,F,30-34,67
2004,Total,F,35-39,65
2004,Total,F,40-44,60
2004,Total,F,45-49,38
2004,Total,F,50-54,27
2004,Total,F,55-59,23
2004,Total,F,60-64,20
2004,Total,F,65-69,6
2004,Total,F,70-74,1
2004,Total,F,75+,7
2004,Total,F,Total,932
2004,Total,T,0-4,209
2004,Total,T,9-May,227
2004,Total,T,14-Oct,200
2004,Total,T,15-19,225
2004,Total,T,20-24,182
2004,Total,T,25-29,168
2004,Total,T,30-34,175
2004,Total,T,35-39,125
2004,Total,T,40-44,106
2004,Total,T,45-49,74
2004,Total,T,50-54,48
2004,Total,T,55-59,40
2004,Total,T,60-64,38
2004,Total,T,65-69,15
2004,Total,T,70-74,2
2004,Total,T,75+,13
2004,Total,T,Total,1847
2005,January,M,0-4,3
2005,January,M,9-May,9
2005,January,M,14-Oct,6
2005,January,M,15-19,2
2005,January,M,20-24,6
2005,January,M,25-29,6
2005,January,M,30-34,3
2005,January,M,35-39,2
2005,January,M,40-44,3
2005,January,M,45-49,2
2005,January,M,50-54,1
2005,January,M,55-59,0
2005,January,M,60-64,1
2005,January,M,65-69,0
2005,January,M,70-74,0
2005,January,M,75+,0
2005,January,M,Total,44
2005,January,F,0-4,9
2005,January,F,9-May,5
2005,January,F,14-Oct,4
2005,January,F,15-19,5
2005,January,F,20-24,4
2005,January,F,25-29,3
2005,January,F,30-34,5
2005,January,F,35-39,1
2005,January,F,40-44,2
2005,January,F,45-49,1
2005,January,F,50-54,3
2005,January,F,55-59,0
2005,January,F,60-64,0
2005,January,F,65-69,0
2005,January,F,70-74,0
2005,January,F,75+,0
2005,January,F,Total,42
2005,January,T,0-4,12
2005,January,T,9-May,14
2005,January,T,14-Oct,10
2005,January,T,15-19,7
2005,January,T,20-24,10
2005,January,T,25-29,9
2005,January,T,30-34,8
2005,January,T,35-39,3
2005,January,T,40-44,5
2005,January,T,45-49,3
2005,January,T,50-54,4
2005,January,T,55-59,0
2005,January,T,60-64,1
2005,January,T,65-69,0
2005,January,T,70-74,0
2005,January,T,75+,0
2005,January,T,Total,86
2005,February,M,0-4,12
2005,February,M,9-May,13
2005,February,M,14-Oct,6
2005,February,M,15-19,16
2005,February,M,20-24,15
2005,February,M,25-29,12
2005,February,M,30-34,10
2005,February,M,35-39,11
2005,February,M,40-44,7
2005,February,M,45-49,3
2005,February,M,50-54,3
2005,February,M,55-59,5
2005,February,M,60-64,1
2005,February,M,65-69,0
2005,February,M,70-74,0
2005,February,M,75+,0
2005,February,M,Total,114
2005,February,F,0-4,10
2005,February,F,9-May,10
2005,February,F,14-Oct,5
2005,February,F,15-19,14
2005,February,F,20-24,5
2005,February,F,25-29,9
2005,February,F,30-34,10
2005,February,F,35-39,9
2005,February,F,40-44,7
2005,February,F,45-49,6
2005,February,F,50-54,1
2005,February,F,55-59,0
2005,February,F,60-64,0
2005,February,F,65-69,2
2005,February,F,70-74,2
2005,February,F,75+,0
2005,February,F,Total,90
2005,February,T,0-4,22
2005,February,T,9-May,23
2005,February,T,14-Oct,11
2005,February,T,15-19,30
2005,February,T,20-24,20
2005,February,T,25-29,21
2005,February,T,30-34,20
2005,February,T,35-39,20
2005,February,T,40-44,14
2005,February,T,45-49,9
2005,February,T,50-54,4
2005,February,T,55-59,5
2005,February,T,60-64,1
2005,February,T,65-69,2
2005,February,T,70-74,2
2005,February,T,75+,0
2005,February,T,Total,204
2005,March,M,0-4,3
2005,March,M,9-May,6
2005,March,M,14-Oct,9
2005,March,M,15-19,7
2005,March,M,20-24,8
2005,March,M,25-29,7
2005,March,M,30-34,10
2005,March,M,35-39,4
2005,March,M,40-44,1
2005,March,M,45-49,4
2005,March,M,50-54,0
2005,March,M,55-59,2
2005,March,M,60-64,2
2005,March,M,65-69,1
2005,March,M,70-74,0
2005,March,M,75+,1
2005,March,M,Total,65
2005,March,F,0-4,15
2005,March,F,9-May,10
2005,March,F,14-Oct,7
2005,March,F,15-19,10
2005,March,F,20-24,8
2005,March,F,25-29,6
2005,March,F,30-34,2
2005,March,F,35-39,4
2005,March,F,40-44,4
2005,March,F,45-49,2
2005,March,F,50-54,3
2005,March,F,55-59,2
2005,March,F,60-64,2
2005,March,F,65-69,0
2005,March,F,70-74,0
2005,March,F,75+,1
2005,March,F,Total,76
2005,March,T,0-4,18
2005,March,T,9-May,16
2005,March,T,14-Oct,16
2005,March,T,15-19,17
2005,March,T,20-24,16
2005,March,T,25-29,13
2005,March,T,30-34,12
2005,March,T,35-39,8
2005,March,T,40-44,5
2005,March,T,45-49,6
2005,March,T,50-54,3
2005,March,T,55-59,4
2005,March,T,60-64,4
2005,March,T,65-69,1
2005,March,T,70-74,0
2005,March,T,75+,2
2005,March,T,Total,141
2005,April,M,0-4,11
2005,April,M,9-May,11
2005,April,M,14-Oct,14
2005,April,M,15-19,12
2005,April,M,20-24,13
2005,April,M,25-29,7
2005,April,M,30-34,8
2005,April,M,35-39,10
2005,April,M,40-44,3
2005,April,M,45-49,1
2005,April,M,50-54,3
2005,April,M,55-59,3
2005,April,M,60-64,0
2005,April,M,65-69,1
2005,April,M,70-74,0
2005,April,M,75+,1
2005,April,M,Total,98
2005,April,F,0-4,8
2005,April,F,9-May,9
2005,April,F,14-Oct,7
2005,April,F,15-19,10
2005,April,F,20-24,7
2005,April,F,25-29,8
2005,April,F,30-34,4
2005,April,F,35-39,8
2005,April,F,40-44,8
2005,April,F,45-49,4
2005,April,F,50-54,1
2005,April,F,55-59,2
2005,April,F,60-64,0
2005,April,F,65-69,1
2005,April,F,70-74,1
2005,April,F,75+,0
2005,April,F,Total,78
2005,April,T,0-4,19
2005,April,T,9-May,20
2005,April,T,14-Oct,21
2005,April,T,15-19,22
2005,April,T,20-24,20
2005,April,T,25-29,15
2005,April,T,30-34,12
2005,April,T,35-39,18
2005,April,T,40-44,11
2005,April,T,45-49,5
2005,April,T,50-54,4
2005,April,T,55-59,5
2005,April,T,60-64,0
2005,April,T,65-69,2
2005,April,T,70-74,1
2005,April,T,75+,1
2005,April,T,Total,176
2005,May,M,0-4,8
2005,May,M,9-May,9
2005,May,M,14-Oct,10
2005,May,M,15-19,16
2005,May,M,20-24,14
2005,May,M,25-29,15
2005,May,M,30-34,9
2005,May,M,35-39,3
2005,May,M,40-44,6
2005,May,M,45-49,12
2005,May,M,50-54,1
2005,May,M,55-59,2
2005,May,M,60-64,2
2005,May,M,65-69,0
2005,May,M,70-74,1
2005,May,M,75+,0
2005,May,M,Total,108
2005,May,F,0-4,18
2005,May,F,9-May,10
2005,May,F,14-Oct,14
2005,May,F,15-19,16
2005,May,F,20-24,9
2005,May,F,25-29,6
2005,May,F,30-34,5
2005,May,F,35-39,6
2005,May,F,40-44,4
2005,May,F,45-49,4
2005,May,F,50-54,1
2005,May,F,55-59,1
2005,May,F,60-64,0
2005,May,F,65-69,2
2005,May,F,70-74,0
2005,May,F,75+,0
2005,May,F,Total,96
2005,May,T,0-4,26
2005,May,T,9-May,19
2005,May,T,14-Oct,24
2005,May,T,15-19,32
2005,May,T,20-24,23
2005,May,T,25-29,21
2005,May,T,30-34,14
2005,May,T,35-39,9
2005,May,T,40-44,10
2005,May,T,45-49,16
2005,May,T,50-54,2
2005,May,T,55-59,3
2005,May,T,60-64,2
2005,May,T,65-69,2
2005,May,T,70-74,1
2005,May,T,75+,0
2005,May,T,Total,204
2005,June,M,0-4,3
2005,June,M,9-May,7
2005,June,M,14-Oct,3
2005,June,M,15-19,13
2005,June,M,20-24,11
2005,June,M,25-29,13
2005,June,M,30-34,8
2005,June,M,35-39,6
2005,June,M,40-44,1
2005,June,M,45-49,6
2005,June,M,50-54,8
2005,June,M,55-59,2
2005,June,M,60-64,5
2005,June,M,65-69,1
2005,June,M,70-74,0
2005,June,M,75+,4
2005,June,M,Total,91
2005,June,F,0-4,11
2005,June,F,9-May,11
2005,June,F,14-Oct,6
2005,June,F,15-19,17
2005,June,F,20-24,5
2005,June,F,25-29,8
2005,June,F,30-34,14
2005,June,F,35-39,7
2005,June,F,40-44,10
2005,June,F,45-49,7
2005,June,F,50-54,3
2005,June,F,55-59,1
2005,June,F,60-64,1
2005,June,F,65-69,0
2005,June,F,70-74,0
2005,June,F,75+,3
2005,June,F,Total,104
2005,June,T,0-4,14
2005,June,T,9-May,18
2005,June,T,14-Oct,9
2005,June,T,15-19,30
2005,June,T,20-24,16
2005,June,T,25-29,21
2005,June,T,30-34,22
2005,June,T,35-39,13
2005,June,T,40-44,11
2005,June,T,45-49,13
2005,June,T,50-54,11
2005,June,T,55-59,3
2005,June,T,60-64,6
2005,June,T,65-69,1
2005,June,T,70-74,0
2005,June,T,75+,7
2005,June,T,Total,195
2005,July,M,0-4,22
2005,July,M,9-May,8
2005,July,M,14-Oct,2
2005,July,M,15-19,10
2005,July,M,20-24,5
2005,July,M,25-29,9
2005,July,M,30-34,7
2005,July,M,35-39,7
2005,July,M,40-44,4
2005,July,M,45-49,2
2005,July,M,50-54,1
2005,July,M,55-59,1
2005,July,M,60-64,1
2005,July,M,65-69,0
2005,July,M,70-74,0
2005,July,M,75+,0
2005,July,M,Total,79
2005,July,F,0-4,12
2005,July,F,9-May,6
2005,July,F,14-Oct,6
2005,July,F,15-19,11
2005,July,F,20-24,6
2005,July,F,25-29,4
2005,July,F,30-34,11
2005,July,F,35-39,4
2005,July,F,40-44,7
2005,July,F,45-49,3
2005,July,F,50-54,6
2005,July,F,55-59,1
2005,July,F,60-64,0
2005,July,F,65-69,0
2005,July,F,70-74,0
2005,July,F,75+,0
2005,July,F,Total,77
2005,July,T,0-4,34
2005,July,T,9-May,14
2005,July,T,14-Oct,8
2005,July,T,15-19,21
2005,July,T,20-24,11
2005,July,T,25-29,13
2005,July,T,30-34,18
2005,July,T,35-39,11
2005,July,T,40-44,11
2005,July,T,45-49,5
2005,July,T,50-54,7
2005,July,T,55-59,2
2005,July,T,60-64,1
2005,July,T,65-69,0
2005,July,T,70-74,0
2005,July,T,75+,0
2005,July,T,Total,156
2005,August,M,0-4,13
2005,August,M,9-May,7
2005,August,M,14-Oct,6
2005,August,M,15-19,15
2005,August,M,20-24,5
2005,August,M,25-29,9
2005,August,M,30-34,11
2005,August,M,35-39,5
2005,August,M,40-44,3
2005,August,M,45-49,1
2005,August,M,50-54,3
2005,August,M,55-59,0
2005,August,M,60-64,1
2005,August,M,65-69,1
2005,August,M,70-74,0
2005,August,M,75+,0
2005,August,M,Total,80
2005,August,F,0-4,8
2005,August,F,9-May,6
2005,August,F,14-Oct,13
2005,August,F,15-19,6
2005,August,F,20-24,9
2005,August,F,25-29,7
2005,August,F,30-34,9
2005,August,F,35-39,3
2005,August,F,40-44,4
2005,August,F,45-49,3
2005,August,F,50-54,1
2005,August,F,55-59,3
2005,August,F,60-64,1
2005,August,F,65-69,0
2005,August,F,70-74,1
2005,August,F,75+,1
2005,August,F,Total,75
2005,August,T,0-4,21
2005,August,T,9-May,13
2005,August,T,14-Oct,19
2005,August,T,15-19,21
2005,August,T,20-24,14
2005,August,T,25-29,16
2005,August,T,30-34,20
2005,August,T,35-39,8
2005,August,T,40-44,7
2005,August,T,45-49,4
2005,August,T,50-54,4
2005,August,T,55-59,3
2005,August,T,60-64,2
2005,August,T,65-69,1
2005,August,T,70-74,1
2005,August,T,75+,1
2005,August,T,Total,155
2005,September,M,0-4,11
2005,September,M,9-May,14
2005,September,M,14-Oct,13
2005,September,M,15-19,23
2005,September,M,20-24,5
2005,September,M,25-29,9
2005,September,M,30-34,7
2005,September,M,35-39,3
2005,September,M,40-44,6
2005,September,M,45-49,1
2005,September,M,50-54,3
2005,September,M,55-59,1
2005,September,M,60-64,1
2005,September,M,65-69,2
2005,September,M,70-74,1
2005,September,M,75+,1
2005,September,M,Total,101
2005,September,F,0-4,13
2005,September,F,9-May,12
2005,September,F,14-Oct,5
2005,September,F,15-19,14
2005,September,F,20-24,12
2005,September,F,25-29,4
2005,September,F,30-34,7
2005,September,F,35-39,5
2005,September,F,40-44,3
2005,September,F,45-49,5
2005,September,F,50-54,5
2005,September,F,55-59,1
2005,September,F,60-64,1
2005,September,F,65-69,0
2005,September,F,70-74,0
2005,September,F,75+,3
2005,September,F,Total,90
2005,September,T,0-4,24
2005,September,T,9-May,26
2005,September,T,14-Oct,18
2005,September,T,15-19,37
2005,September,T,20-24,17
2005,September,T,25-29,13
2005,September,T,30-34,14
2005,September,T,35-39,8
2005,September,T,40-44,9
2005,September,T,45-49,6
2005,September,T,50-54,8
2005,September,T,55-59,2
2005,September,T,60-64,2
2005,September,T,65-69,2
2005,September,T,70-74,1
2005,September,T,75+,4
2005,September,T,Total,191
2005,October,M,0-4,9
2005,October,M,9-May,7
2005,October,M,14-Oct,7
2005,October,M,15-19,11
2005,October,M,20-24,8
2005,October,M,25-29,8
2005,October,M,30-34,6
2005,October,M,35-39,5
2005,October,M,40-44,5
2005,October,M,45-49,4
2005,October,M,50-54,2
2005,October,M,55-59,0
2005,October,M,60-64,1
2005,October,M,65-69,0
2005,October,M,70-74,1
2005,October,M,75+,0
2005,October,M,Total,74
2005,October,F,0-4,7
2005,October,F,9-May,15
2005,October,F,14-Oct,12
2005,October,F,15-19,18
2005,October,F,20-24,9
2005,October,F,25-29,4
2005,October,F,30-34,8
2005,October,F,35-39,9
2005,October,F,40-44,6
2005,October,F,45-49,1
2005,October,F,50-54,0
2005,October,F,55-59,2
2005,October,F,60-64,2
2005,October,F,65-69,2
2005,October,F,70-74,0
2005,October,F,75+,0
2005,October,F,Total,95
2005,October,T,0-4,16
2005,October,T,9-May,22
2005,October,T,14-Oct,19
2005,October,T,15-19,29
2005,October,T,20-24,17
2005,October,T,25-29,12
2005,October,T,30-34,14
2005,October,T,35-39,14
2005,October,T,40-44,11
2005,October,T,45-49,5
2005,October,T,50-54,2
2005,October,T,55-59,2
2005,October,T,60-64,3
2005,October,T,65-69,2
2005,October,T,70-74,1
2005,October,T,75+,0
2005,October,T,Total,169
2005,November,M,0-4,11
2005,November,M,9-May,7
2005,November,M,14-Oct,10
2005,November,M,15-19,13
2005,November,M,20-24,8
2005,November,M,25-29,6
2005,November,M,30-34,11
2005,November,M,35-39,3
2005,November,M,40-44,3
2005,November,M,45-49,3
2005,November,M,50-54,1
2005,November,M,55-59,2
2005,November,M,60-64,0
2005,November,M,65-69,0
2005,November,M,70-74,0
2005,November,M,75+,2
2005,November,M,Total,80
2005,November,F,0-4,8
2005,November,F,9-May,11
2005,November,F,14-Oct,6
2005,November,F,15-19,13
2005,November,F,20-24,10
2005,November,F,25-29,3
2005,November,F,30-34,6
2005,November,F,35-39,5
2005,November,F,40-44,1
2005,November,F,45-49,4
2005,November,F,50-54,2
2005,November,F,55-59,0
2005,November,F,60-64,0
2005,November,F,65-69,2
2005,November,F,70-74,0
2005,November,F,75+,0
2005,November,F,Total,71
2005,November,T,0-4,19
2005,November,T,9-May,18
2005,November,T,14-Oct,16
2005,November,T,15-19,26
2005,November,T,20-24,18
2005,November,T,25-29,9
2005,November,T,30-34,17
2005,November,T,35-39,8
2005,November,T,40-44,4
2005,November,T,45-49,7
2005,November,T,50-54,3
2005,November,T,55-59,2
2005,November,T,60-64,0
2005,November,T,65-69,2
2005,November,T,70-74,0
2005,November,T,75+,2
2005,November,T,Total,151
2005,December,M,0-4,11
2005,December,M,9-May,10
2005,December,M,14-Oct,19
2005,December,M,15-19,12
2005,December,M,20-24,9
2005,December,M,25-29,8
2005,December,M,30-34,3
2005,December,M,35-39,6
2005,December,M,40-44,9
2005,December,M,45-49,5
2005,December,M,50-54,0
2005,December,M,55-59,1
2005,December,M,60-64,2
2005,December,M,65-69,1
2005,December,M,70-74,0
2005,December,M,75+,0
2005,December,M,Total,96
2005,December,F,0-4,8
2005,December,F,9-May,4
2005,December,F,14-Oct,8
2005,December,F,15-19,17
2005,December,F,20-24,7
2005,December,F,25-29,11
2005,December,F,30-34,5
2005,December,F,35-39,9
2005,December,F,40-44,3
2005,December,F,45-49,3
2005,December,F,50-54,4
2005,December,F,55-59,2
2005,December,F,60-64,1
2005,December,F,65-69,1
2005,December,F,70-74,0
2005,December,F,75+,0
2005,December,F,Total,83
2005,December,T,0-4,19
2005,December,T,9-May,14
2005,December,T,14-Oct,27
2005,December,T,15-19,29
2005,December,T,20-24,16
2005,December,T,25-29,19
2005,December,T,30-34,8
2005,December,T,35-39,15
2005,December,T,40-44,12
2005,December,T,45-49,8
2005,December,T,50-54,4
2005,December,T,55-59,3
2005,December,T,60-64,3
2005,December,T,65-69,2
2005,December,T,70-74,0
2005,December,T,75+,0
2005,December,T,Total,179
2005,Total,M,0-4,117
2005,Total,M,9-May,108
2005,Total,M,14-Oct,105
2005,Total,M,15-19,150
2005,Total,M,20-24,107
2005,Total,M,25-29,109
2005,Total,M,30-34,93
2005,Total,M,35-39,65
2005,Total,M,40-44,51
2005,Total,M,45-49,44
2005,Total,M,50-54,26
2005,Total,M,55-59,19
2005,Total,M,60-64,17
2005,Total,M,65-69,7
2005,Total,M,70-74,3
2005,Total,M,75+,9
2005,Total,M,Total,1030
2005,Total,F,0-4,127
2005,Total,F,9-May,109
2005,Total,F,14-Oct,93
2005,Total,F,15-19,151
2005,Total,F,20-24,91
2005,Total,F,25-29,73
2005,Total,F,30-34,86
2005,Total,F,35-39,70
2005,Total,F,40-44,59
2005,Total,F,45-49,43
2005,Total,F,50-54,30
2005,Total,F,55-59,15
2005,Total,F,60-64,8
2005,Total,F,65-69,10
2005,Total,F,70-74,4
2005,Total,F,75+,8
2005,Total,F,Total,977
2005,Total,T,0-4,244
2005,Total,T,9-May,217
2005,Total,T,14-Oct,198
2005,Total,T,15-19,301
2005,Total,T,20-24,198
2005,Total,T,25-29,182
2005,Total,T,30-34,179
2005,Total,T,35-39,135
2005,Total,T,40-44,110
2005,Total,T,45-49,87
2005,Total,T,50-54,56
2005,Total,T,55-59,34
2005,Total,T,60-64,25
2005,Total,T,65-69,17
2005,Total,T,70-74,7
2005,Total,T,75+,17
2005,Total,T,Total,2007
2006,January,M,0-4,5
2006,January,M,9-May,13
2006,January,M,14-Oct,8
2006,January,M,15-19,10
2006,January,M,20-24,8
2006,January,M,25-29,12
2006,January,M,30-34,6
2006,January,M,35-39,8
2006,January,M,40-44,5
2006,January,M,45-49,1
2006,January,M,50-54,4
2006,January,M,55-59,1
2006,January,M,60-64,2
2006,January,M,65-69,0
2006,January,M,70-74,0
2006,January,M,75+,2
2006,January,M,Total,85
2006,January,F,0-4,11
2006,January,F,9-May,8
2006,January,F,14-Oct,9
2006,January,F,15-19,15
2006,January,F,20-24,7
2006,January,F,25-29,5
2006,January,F,30-34,9
2006,January,F,35-39,4
2006,January,F,40-44,5
2006,January,F,45-49,6
2006,January,F,50-54,2
2006,January,F,55-59,1
2006,January,F,60-64,0
2006,January,F,65-69,0
2006,January,F,70-74,0
2006,January,F,75+,1
2006,January,F,Total,83
2006,January,T,0-4,16
2006,January,T,9-May,21
2006,January,T,14-Oct,17
2006,January,T,15-19,25
2006,January,T,20-24,15
2006,January,T,25-29,17
2006,January,T,30-34,15
2006,January,T,35-39,12
2006,January,T,40-44,10
2006,January,T,45-49,7
2006,January,T,50-54,6
2006,January,T,55-59,2
2006,January,T,60-64,2
2006,January,T,65-69,0
2006,January,T,70-74,0
2006,January,T,75+,3
2006,January,T,Total,168
2006,February,M,0-4,11
2006,February,M,9-May,18
2006,February,M,14-Oct,16
2006,February,M,15-19,10
2006,February,M,20-24,13
2006,February,M,25-29,13
2006,February,M,30-34,6
2006,February,M,35-39,7
2006,February,M,40-44,7
2006,February,M,45-49,1
2006,February,M,50-54,3
2006,February,M,55-59,3
2006,February,M,60-64,4
2006,February,M,65-69,1
2006,February,M,70-74,0
2006,February,M,75+,2
2006,February,M,Total,115
2006,February,F,0-4,18
2006,February,F,9-May,14
2006,February,F,14-Oct,10
2006,February,F,15-19,14
2006,February,F,20-24,11
2006,February,F,25-29,8
2006,February,F,30-34,5
2006,February,F,35-39,6
2006,February,F,40-44,2
2006,February,F,45-49,6
2006,February,F,50-54,5
2006,February,F,55-59,1
2006,February,F,60-64,4
2006,February,F,65-69,0
2006,February,F,70-74,0
2006,February,F,75+,1
2006,February,F,Total,105
2006,February,T,0-4,29
2006,February,T,9-May,32
2006,February,T,14-Oct,26
2006,February,T,15-19,24
2006,February,T,20-24,24
2006,February,T,25-29,21
2006,February,T,30-34,11
2006,February,T,35-39,13
2006,February,T,40-44,9
2006,February,T,45-49,7
2006,February,T,50-54,8
2006,February,T,55-59,4
2006,February,T,60-64,8
2006,February,T,65-69,1
2006,February,T,70-74,0
2006,February,T,75+,3
2006,February,T,Total,220
2006,March,M,0-4,16
2006,March,M,9-May,11
2006,March,M,14-Oct,18
2006,March,M,15-19,19
2006,March,M,20-24,13
2006,March,M,25-29,10
2006,March,M,30-34,7
2006,March,M,35-39,7
2006,March,M,40-44,5
2006,March,M,45-49,6
2006,March,M,50-54,2
2006,March,M,55-59,3
2006,March,M,60-64,1
2006,March,M,65-69,2
2006,March,M,70-74,0
2006,March,M,75+,0
2006,March,M,Total,120
2006,March,F,0-4,10
2006,March,F,9-May,9
2006,March,F,14-Oct,11
2006,March,F,15-19,16
2006,March,F,20-24,11
2006,March,F,25-29,6
2006,March,F,30-34,8
2006,March,F,35-39,1
2006,March,F,40-44,12
2006,March,F,45-49,2
2006,March,F,50-54,3
2006,March,F,55-59,3
2006,March,F,60-64,0
2006,March,F,65-69,1
2006,March,F,70-74,2
2006,March,F,75+,0
2006,March,F,Total,95
2006,March,T,0-4,26
2006,March,T,9-May,20
2006,March,T,14-Oct,29
2006,March,T,15-19,35
2006,March,T,20-24,24
2006,March,T,25-29,16
2006,March,T,30-34,15
2006,March,T,35-39,8
2006,March,T,40-44,17
2006,March,T,45-49,8
2006,March,T,50-54,5
2006,March,T,55-59,6
2006,March,T,60-64,1
2006,March,T,65-69,3
2006,March,T,70-74,2
2006,March,T,75+,0
2006,March,T,Total,215
2006,April,M,0-4,12
2006,April,M,9-May,17
2006,April,M,14-Oct,8
2006,April,M,15-19,12
2006,April,M,20-24,12
2006,April,M,25-29,6
2006,April,M,30-34,10
2006,April,M,35-39,6
2006,April,M,40-44,4
2006,April,M,45-49,4
2006,April,M,50-54,3
2006,April,M,55-59,2
2006,April,M,60-64,1
2006,April,M,65-69,1
2006,April,M,70-74,0
2006,April,M,75+,0
2006,April,M,Total,98
2006,April,F,0-4,17
2006,April,F,9-May,2
2006,April,F,14-Oct,6
2006,April,F,15-19,7
2006,April,F,20-24,14
2006,April,F,25-29,7
2006,April,F,30-34,6
2006,April,F,35-39,4
2006,April,F,40-44,7
2006,April,F,45-49,7
2006,April,F,50-54,1
2006,April,F,55-59,1
2006,April,F,60-64,5
