Year,Month,Gender,LNC_by_Age,Value_Legal_Name_Change
2001,May,M,40-44,6
2001,May,M,45-49,6
2001,May,M,50-54,7
2001,May,M,55-59,2
2001,May,M,60-64,0
2001,May,M,65-69,0
2001,May,M,70-74,0
2001,May,M,75+,0
2001,May,M,Total,137
2001,May,F,0-4,17
2001,May,F,9-May,12
2001,May,F,14-Oct,9
2001,May,F,15-19,14
2001,May,F,20-24,8
2001,May,F,25-29,8
2001,May,F,30-34,8
2001,May,F,35-39,10
2001,May,F,40-44,9
2001,May,F,45-49,3
2001,May,F,50-54,6
2001,May,F,55-59,1
2001,May,F,60-64,0
2001,May,F,65-69,2
2001,May,F,70-74,1
2001,May,F,75+,0
2001,May,F,Total,108
2001,May,T,0-4,33
2001,May,T,9-May,30
2001,May,T,14-Oct,27
2001,May,T,15-19,28
2001,May,T,20-24,25
2001,May,T,25-29,15
2001,May,T,30-34,22
2001,May,T,35-39,22
2001,May,T,40-44,15
2001,May,T,45-49,9
2001,May,T,50-54,13
2001,May,T,55-59,3
2001,May,T,60-64,0
2001,May,T,65-69,2
2001,May,T,70-74,1
2001,May,T,75+,0
2001,May,T,Total,245
2001,June,M,0-4,15
2001,June,M,9-May,13
2001,June,M,14-Oct,7
2001,June,M,15-19,7
2001,June,M,20-24,12
2001,June,M,25-29,11
2001,June,M,30-34,10
2001,June,M,35-39,15
2001,June,M,40-44,6
2001,June,M,45-49,1
2001,June,M,50-54,2
2001,June,M,55-59,1
2001,June,M,60-64,4
2001,June,M,65-69,0
2001,June,M,70-74,0
2001,June,M,75+,0
2001,June,M,Total,104
2001,June,F,0-4,18
2001,June,F,9-May,14
2001,June,F,14-Oct,10
2001,June,F,15-19,8
2001,June,F,20-24,8
2001,June,F,25-29,12
2001,June,F,30-34,8
2001,June,F,35-39,10
2001,June,F,40-44,6
2001,June,F,45-49,1
2001,June,F,50-54,3
2001,June,F,55-59,7
2001,June,F,60-64,3
2001,June,F,65-69,0
2001,June,F,70-74,0
2001,June,F,75+,0
2001,June,F,Total,108
2001,June,T,0-4,33
2001,June,T,9-May,27
2001,June,T,14-Oct,17
2001,June,T,15-19,15
2001,June,T,20-24,20
2001,June,T,25-29,23
2001,June,T,30-34,18
2001,June,T,35-39,25
2001,June,T,40-44,12
2001,June,T,45-49,2
2001,June,T,50-54,5
